,test_results,train_results,test_errs,train_errs,aggregate_previous_num
0,0.3675841795203908,0.9753623280303712,0.05778926113234723,0.002051723488083962,base
1,0.3675841795203908,0.9753623280303712,0.05778926113234723,0.002051723488083962,0
2,0.3675841795203908,0.9753623280303712,0.05778926113234723,0.002051723488083962,1
3,0.3827014036316815,0.9777370164192332,0.056065190370341696,0.0020682410921886683,2
4,0.37867649261908826,0.9783374747060565,0.07617197736175071,0.001932930533103194,3
5,0.3870000721973779,0.9782799217843465,0.06277584894794531,0.00198325086403855,4
6,0.4112801413060049,0.9784990775931025,0.06295475248359134,0.0021872976075195004,5
7,0.4062410692669329,0.9792346081814809,0.0583034853714416,0.0019923705493194214,6
8,0.39671943713562335,0.9792346081814809,0.07951388244187223,0.0019923705493194214,7
9,0.3952516358968631,0.979177055259771,0.06670322395427951,0.002039012229298076,8
10,0.4054862982932902,0.9792946249983425,0.062177565585522204,0.001964964507987136,9
11,0.3889611821042871,0.9792946249983425,0.07410666109758512,0.001964964507987136,10
12,0.39396766719625603,0.9792946249983425,0.08081969274458788,0.001964964507987136,11
13,0.3957577539911815,0.979177055259771,0.07149367981787522,0.002039012229298076,12
14,0.3957577539911815,0.979177055259771,0.07149367981787522,0.002039012229298076,13
15,0.3957577539911815,0.979177055259771,0.07149367981787522,0.002039012229298076,14
